paper,nombre
http://dblp.l3s.de/d2r/resource/publications/conf/acpr/XuMZZW13,Hao_Wu|Jian_Zhang|Qiang_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/acsac/GaoYBCDLC14,Alok_N._Choudhary|Yan_Chen|Yi_Yang
http://dblp.l3s.de/d2r/resource/publications/conf/acssc/WangFLZKBD16,Chang_Liu|Edward_J._Delp|Yu_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/acsw/ChengVMS17,Vijay_Varadharajan|Willy_Susilo|Yi_Mu
http://dblp.l3s.de/d2r/resource/publications/conf/adc/LuoZZSL07,Jianzhong_Li|Xiaofang_Zhou|Yu_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/adma/LiBWLY06,Jin_Wang|Rui_Li|Yong_Yu
http://dblp.l3s.de/d2r/resource/publications/conf/adma/WangDLCZPX16,Chi_Zhang|Xin_Chen|Yan_Wang
http://dblp.l3s.de/d2r/resource/publications/conf/aici/ZhangJLZ11,Wei_Zhang|Xin_Li|Xin_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/aict/LiWXCLZ05,Jianping_Wu|Ke_Xu|Ying_Liu
http://dblp.l3s.de/d2r/resource/publications/conf/aina/BarolliIMDX09,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/BarolliOOIBT17,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/BarolliOSBXT13,Fatos_Xhafa|Leonard_Barolli|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/CaoZZDXXZZYFYY12,Jiannong_Cao|Jie_Zhou|Jun_Zhang
http://dblp.l3s.de/d2r/resource/publications/conf/aina/ChangOSIBX14,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda
http://dblp.l3s.de/d2r/resource/publications/conf/aina/FanXCL06,Hong_Chen|Lei_Liu|Wei_Xu
http://dblp.l3s.de/d2r/resource/publications/conf/aina/HanCDCW06,Elizabeth_Chang|Jie_Wang|Tharam_S._Dillon
http://dblp.l3s.de/d2r/resource/publications/conf/aina/HiyamaKIBT13,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/IkedaHBXDT10,Fatos_Xhafa|Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
http://dblp.l3s.de/d2r/resource/publications/conf/aina/IkedaKHBT11,Leonard_Barolli|Makoto_Ikeda|Makoto_Takizawa
